student_id,swipe_timestamp,meal_period
STU127,2025-09-16 07:23:45,Breakfast
STU034,2025-09-16 07:41:12,Breakfast
STU298,2025-09-16 08:05:33,Breakfast
STU156,2025-09-16 07:52:21,Breakfast
STU445,2025-09-16 08:18:45,Breakfast
STU089,2025-09-16 07:36:12,Breakfast
STU623,2025-09-16 08:12:33,Breakfast
STU234,2025-09-16 07:48:21,Breakfast
STU567,2025-09-16 08:03:45,Breakfast
STU012,2025-09-16 07:29:33,Breakfast
STU389,2025-09-16 08:21:12,Breakfast
STU678,2025-09-16 07:55:45,Breakfast
STU145,2025-09-16 08:09:21,Breakfast
STU456,2025-09-16 07:43:33,Breakfast
STU723,2025-09-16 08:16:45,Breakfast
STU067,2025-09-16 07:38:12,Breakfast
STU234,2025-09-16 12:25:45,Lunch
STU567,2025-09-16 12:48:21,Lunch
STU145,2025-09-16 13:12:33,Lunch
STU298,2025-09-16 12:39:12,Lunch
STU678,2025-09-16 13:05:45,Lunch
STU456,2025-09-16 12:52:21,Lunch
STU089,2025-09-16 13:18:33,Lunch
STU623,2025-09-16 12:31:45,Lunch
STU723,2025-09-16 13:14:12,Lunch
STU127,2025-09-16 12:43:33,Lunch
STU034,2025-09-16 13:07:21,Lunch
STU156,2025-09-16 12:56:45,Lunch
STU445,2025-09-16 13:22:12,Lunch
STU012,2025-09-16 12:37:33,Lunch
STU389,2025-09-16 13:01:45,Lunch
STU067,2025-09-16 12:49:21,Lunch
STU298,2025-09-16 18:34:12,Dinner
STU145,2025-09-16 19:07:33,Dinner
STU456,2025-09-16 18:51:21,Dinner
STU234,2025-09-16 19:23:45,Dinner
STU089,2025-09-16 18:42:12,Dinner
STU678,2025-09-16 19:15:33,Dinner
STU567,2025-09-16 18:28:45,Dinner
STU623,2025-09-16 19:01:21,Dinner
STU127,2025-09-16 18:46:33,Dinner
STU723,2025-09-16 19:18:12,Dinner
STU034,2025-09-16 18:39:45,Dinner
STU156,2025-09-16 19:12:21,Dinner
STU445,2025-09-16 18:55:33,Dinner
STU012,2025-09-16 19:26:45,Dinner
STU389,2025-09-16 18:33:21,Dinner
STU067,2025-09-16 19:04:45,Dinner
STU512,2025-09-16 07:31:45,Breakfast
STU743,2025-09-16 08:14:21,Breakfast
STU198,2025-09-16 07:47:33,Breakfast
STU321,2025-09-16 08:02:45,Breakfast
STU654,2025-09-16 07:39:12,Breakfast
STU087,2025-09-16 08:23:33,Breakfast
STU432,2025-09-16 07:56:21,Breakfast
STU765,2025-09-16 08:11:45,Breakfast
STU198,2025-09-16 12:33:21,Lunch
STU512,2025-09-16 12:57:45,Lunch
STU321,2025-09-16 13:11:12,Lunch
STU743,2025-09-16 12:44:33,Lunch
STU654,2025-09-16 13:08:21,Lunch
STU087,2025-09-16 12:51:45,Lunch
STU432,2025-09-16 13:16:12,Lunch
STU765,2025-09-16 12:38:33,Lunch
STU321,2025-09-16 18:41:33,Dinner
STU512,2025-09-16 19:14:21,Dinner
STU198,2025-09-16 18:57:45,Dinner
STU654,2025-09-16 19:22:12,Dinner
STU743,2025-09-16 18:35:33,Dinner
STU087,2025-09-16 19:08:45,Dinner
STU432,2025-09-16 18:52:21,Dinner
STU765,2025-09-16 19:17:33,Dinner
STU234,2025-09-17 07:25:12,Breakfast
STU567,2025-09-17 07:48:33,Breakfast
STU089,2025-09-17 08:11:45,Breakfast
STU456,2025-09-17 07:54:21,Breakfast
STU127,2025-09-17 08:17:33,Breakfast
STU678,2025-09-17 07:42:12,Breakfast
STU145,2025-09-17 08:05:45,Breakfast
STU298,2025-09-17 07:37:21,Breakfast
STU623,2025-09-17 08:20:12,Breakfast
STU034,2025-09-17 07:59:33,Breakfast
STU156,2025-09-17 08:13:45,Breakfast
STU723,2025-09-17 07:46:21,Breakfast
STU445,2025-09-17 08:08:33,Breakfast
STU012,2025-09-17 07:33:45,Breakfast
STU389,2025-09-17 08:22:12,Breakfast
STU067,2025-09-17 07:51:33,Breakfast
STU198,2025-09-17 08:04:21,Breakfast
STU512,2025-09-17 07:40:45,Breakfast
STU321,2025-09-17 08:15:12,Breakfast
STU743,2025-09-17 07:57:33,Breakfast
STU654,2025-09-17 08:19:45,Breakfast
STU087,2025-09-17 07:44:12,Breakfast
STU432,2025-09-17 08:07:33,Breakfast
STU765,2025-09-17 07:35:21,Breakfast
STU089,2025-09-17 12:27:45,Lunch
STU234,2025-09-17 12:51:12,Lunch
STU456,2025-09-17 13:14:33,Lunch
STU567,2025-09-17 12:42:21,Lunch
STU298,2025-09-17 13:06:45,Lunch
STU145,2025-09-17 12:53:12,Lunch
STU678,2025-09-17 13:17:33,Lunch
STU127,2025-09-17 12:35:45,Lunch
STU623,2025-09-17 13:09:21,Lunch
STU034,2025-09-17 12:48:33,Lunch
STU156,2025-09-17 13:21:12,Lunch
STU723,2025-09-17 12:39:45,Lunch
STU445,2025-09-17 13:03:21,Lunch
STU012,2025-09-17 12:56:33,Lunch
STU389,2025-09-17 13:19:45,Lunch
STU067,2025-09-17 12:32:12,Lunch
STU198,2025-09-17 13:15:33,Lunch
STU512,2025-09-17 12:44:21,Lunch
STU321,2025-09-17 13:07:45,Lunch
STU743,2025-09-17 12:58:12,Lunch
STU654,2025-09-17 13:23:33,Lunch
STU087,2025-09-17 12:36:45,Lunch
STU432,2025-09-17 13:11:21,Lunch
STU765,2025-09-17 12:49:33,Lunch
STU456,2025-09-17 18:36:21,Dinner
STU089,2025-09-17 19:09:45,Dinner
STU234,2025-09-17 18:53:12,Dinner
STU567,2025-09-17 19:16:33,Dinner
STU298,2025-09-17 18:41:45,Dinner
STU145,2025-09-17 19:04:21,Dinner
STU678,2025-09-17 18:48:33,Dinner
STU127,2025-09-17 19:21:12,Dinner
STU623,2025-09-17 18:34:45,Dinner
STU034,2025-09-17 19:07:21,Dinner
STU156,2025-09-17 18:52:33,Dinner
STU723,2025-09-17 19:18:45,Dinner
STU445,2025-09-17 18:45:12,Dinner
STU012,2025-09-17 19:11:33,Dinner
STU389,2025-09-17 18:38:21,Dinner
STU067,2025-09-17 19:24:45,Dinner
STU198,2025-09-17 18:56:12,Dinner
STU512,2025-09-17 19:13:33,Dinner
STU321,2025-09-17 18:42:21,Dinner
STU743,2025-09-17 19:05:45,Dinner
STU654,2025-09-17 18:49:12,Dinner
STU087,2025-09-17 19:22:33,Dinner
STU432,2025-09-17 18:37:45,Dinner
STU765,2025-09-17 19:14:21,Dinner
STU291,2025-09-17 07:28:33,Breakfast
STU582,2025-09-17 08:12:45,Breakfast
STU413,2025-09-17 07:45:21,Breakfast
STU736,2025-09-17 08:01:33,Breakfast
STU164,2025-09-17 07:38:45,Breakfast
STU527,2025-09-17 08:24:12,Breakfast
STU698,2025-09-17 07:52:33,Breakfast
STU049,2025-09-17 08:16:21,Breakfast
STU291,2025-09-17 12:29:12,Lunch
STU582,2025-09-17 12:54:33,Lunch
STU413,2025-09-17 13:17:45,Lunch
STU736,2025-09-17 12:41:21,Lunch
STU164,2025-09-17 13:04:33,Lunch
STU527,2025-09-17 12:47:12,Lunch
STU698,2025-09-17 13:20:45,Lunch
STU049,2025-09-17 12:33:21,Lunch
STU413,2025-09-17 18:43:33,Dinner
STU291,2025-09-17 19:16:45,Dinner
STU582,2025-09-17 18:59:21,Dinner
STU736,2025-09-17 19:23:33,Dinner
STU164,2025-09-17 18:36:45,Dinner
STU527,2025-09-17 19:10:21,Dinner
STU698,2025-09-17 18:54:33,Dinner
STU049,2025-09-17 19:17:45,Dinner
STU127,2025-09-18 07:22:33,Breakfast
STU456,2025-09-18 07:46:12,Breakfast
STU234,2025-09-18 08:09:45,Breakfast
STU089,2025-09-18 07:53:21,Breakfast
STU567,2025-09-18 08:16:33,Breakfast
STU298,2025-09-18 07:41:45,Breakfast
STU145,2025-09-18 08:04:12,Breakfast
STU678,2025-09-18 07:36:33,Breakfast
STU623,2025-09-18 08:19:21,Breakfast
STU034,2025-09-18 07:58:45,Breakfast
STU156,2025-09-18 08:12:12,Breakfast
STU723,2025-09-18 07:45:33,Breakfast
STU445,2025-09-18 08:07:21,Breakfast
STU012,2025-09-18 07:32:45,Breakfast
STU389,2025-09-18 08:21:33,Breakfast
STU067,2025-09-18 07:50:12,Breakfast
STU198,2025-09-18 08:03:45,Breakfast
STU512,2025-09-18 07:39:21,Breakfast
STU321,2025-09-18 08:14:33,Breakfast
STU743,2025-09-18 07:56:45,Breakfast
STU654,2025-09-18 08:18:12,Breakfast
STU087,2025-09-18 07:43:33,Breakfast
STU432,2025-09-18 08:06:21,Breakfast
STU765,2025-09-18 07:34:45,Breakfast
STU291,2025-09-18 08:11:12,Breakfast
STU582,2025-09-18 07:47:33,Breakfast
STU413,2025-09-18 08:20:45,Breakfast
STU736,2025-09-18 07:55:21,Breakfast
STU164,2025-09-18 08:08:33,Breakfast
STU527,2025-09-18 07:42:12,Breakfast
STU698,2025-09-18 08:15:45,Breakfast
STU049,2025-09-18 07:37:33,Breakfast
STU234,2025-09-18 12:26:12,Lunch
STU127,2025-09-18 12:49:33,Lunch
STU456,2025-09-18 13:13:45,Lunch
STU089,2025-09-18 12:41:21,Lunch
STU567,2025-09-18 13:05:33,Lunch
STU298,2025-09-18 12:52:12,Lunch
STU145,2025-09-18 13:16:45,Lunch
STU678,2025-09-18 12:34:21,Lunch
STU623,2025-09-18 13:08:33,Lunch
STU034,2025-09-18 12:47:45,Lunch
STU156,2025-09-18 13:20:12,Lunch
STU723,2025-09-18 12:38:33,Lunch
STU445,2025-09-18 13:02:45,Lunch
STU012,2025-09-18 12:55:21,Lunch
STU389,2025-09-18 13:18:33,Lunch
STU067,2025-09-18 12:31:45,Lunch
STU198,2025-09-18 13:14:12,Lunch
STU512,2025-09-18 12:43:33,Lunch
STU321,2025-09-18 13:06:21,Lunch
STU743,2025-09-18 12:57:45,Lunch
STU654,2025-09-18 13:22:12,Lunch
STU087,2025-09-18 12:35:33,Lunch
STU432,2025-09-18 13:10:45,Lunch
STU765,2025-09-18 12:48:21,Lunch
STU291,2025-09-18 13:15:33,Lunch
STU582,2025-09-18 12:39:12,Lunch
STU413,2025-09-18 13:03:45,Lunch
STU736,2025-09-18 12:56:21,Lunch
STU164,2025-09-18 13:19:33,Lunch
STU527,2025-09-18 12:32:45,Lunch
STU698,2025-09-18 13:07:12,Lunch
STU049,2025-09-18 12:50:33,Lunch
STU089,2025-09-18 18:35:45,Dinner
STU234,2025-09-18 19:08:21,Dinner
STU456,2025-09-18 18:52:33,Dinner
STU127,2025-09-18 19:15:45,Dinner
STU567,2025-09-18 18:40:12,Dinner
STU298,2025-09-18 19:03:33,Dinner
STU145,2025-09-18 18:47:21,Dinner
STU678,2025-09-18 19:20:45,Dinner
STU623,2025-09-18 18:33:12,Dinner
STU034,2025-09-18 19:06:33,Dinner
STU156,2025-09-18 18:51:45,Dinner
STU723,2025-09-18 19:17:21,Dinner
STU445,2025-09-18 18:44:33,Dinner
STU012,2025-09-18 19:10:45,Dinner
STU389,2025-09-18 18:37:21,Dinner
STU067,2025-09-18 19:23:33,Dinner
STU198,2025-09-18 18:55:45,Dinner
STU512,2025-09-18 19:12:21,Dinner
STU321,2025-09-18 18:41:33,Dinner
STU743,2025-09-18 19:04:45,Dinner
STU654,2025-09-18 18:48:21,Dinner
STU087,2025-09-18 19:21:33,Dinner
STU432,2025-09-18 18:36:45,Dinner
STU765,2025-09-18 19:13:21,Dinner
STU291,2025-09-18 18:59:33,Dinner
STU582,2025-09-18 19:16:45,Dinner
STU413,2025-09-18 18:42:21,Dinner
STU736,2025-09-18 19:05:33,Dinner
STU164,2025-09-18 18:49:45,Dinner
STU527,2025-09-18 19:22:21,Dinner
STU698,2025-09-18 18:38:33,Dinner
STU049,2025-09-18 19:11:45,Dinner
STU672,2025-09-18 07:29:21,Breakfast
STU183,2025-09-18 08:13:33,Breakfast
STU504,2025-09-18 07:46:45,Breakfast
STU729,2025-09-18 08:02:21,Breakfast
STU051,2025-09-18 07:37:33,Breakfast
STU348,2025-09-18 08:25:12,Breakfast
STU615,2025-09-18 07:51:45,Breakfast
STU276,2025-09-18 08:17:33,Breakfast
STU672,2025-09-18 12:28:45,Lunch
STU183,2025-09-18 12:53:21,Lunch
STU504,2025-09-18 13:16:33,Lunch
STU729,2025-09-18 12:40:45,Lunch
STU051,2025-09-18 13:04:21,Lunch
STU348,2025-09-18 12:46:33,Lunch
STU615,2025-09-18 13:21:45,Lunch
STU276,2025-09-18 12:37:21,Lunch
STU504,2025-09-18 18:44:21,Dinner
STU672,2025-09-18 19:17:33,Dinner
STU183,2025-09-18 18:58:45,Dinner
STU729,2025-09-18 19:24:21,Dinner
STU051,2025-09-18 18:35:33,Dinner
STU348,2025-09-18 19:09:45,Dinner
STU615,2025-09-18 18:53:21,Dinner
STU276,2025-09-18 19:18:33,Dinner
